id,context,text
hud.stat.wave,HUD stat label above the current wave number,WAVE
hud.stat.enemies,HUD stat label above the count of enemies still flying,ENEMIES
hud.stat.plunder,HUD stat label above the count of hulks boarded,PLUNDER
hud.hull,HUD label on the hull integrity bar,HULL
hud.torpedo_tubes,HUD label on the torpedo tube row; lock pips follow it,TORPEDO TUBES
hud.battery,"HUD label on the boost battery gauge. Named for the battery rather than for boost because the same charge is expected to power more than one system later; also keeps ""thrust"" free for the helm ladder, which sits one line below it.",BATTERY
hud.aim,HUD label on the aim/heading gauge,AIM
hud.warp,HUD label on the microwarp readout,WARP
hud.helm,HUD label on the thrust-setting readout,HELM
hud.helm.reverse,"Thrust notch: driving astern, at a fraction of forward power. Very short — it sits in a small readout box.",REVERSE
hud.helm.none,Thrust notch: drives stopped. The handiest setting — this is where a ship pivots.,NO THRUST
hud.helm.half,Thrust notch: the default cruising setting. A good compromise of speed and turn rate.,HALF THRUST
hud.helm.full,"Thrust notch: maximum speed, and the worst turn rate of the four.",FULL THRUST
hud.ready,"Shown on a weapon or drive readout when it is off cooldown. Very short — it replaces a countdown in the same small box.",RDY
hud.broadside.port,Label under the port broadside readout. The arrow points outboard.,◄ PORT
hud.broadside.starboard,Label under the starboard broadside readout. The arrow points outboard.,STBD ►
title.name,The game's name on the title card,Void & Thunder
title.tagline,One line under the title naming the setting,Piracy in the Settled Dark
title.career,"Career line on the title card, shown only once a run has been finished. Wave *reached*, matching the end-of-run tally.",{runs} sailed · deepest wave {wave} · {plunder} plundered
title.career.victories,"Follows the career line when at least one run has been won. Kept a separate row so a player with no wins is not shown a zero.",{victories} won
title.prompt.keyboard,Title card prompt for a keyboard player,Press Space to cast off
title.prompt.gamepad,Title card prompt for a pad player; A is also the boost button,Press A to cast off
outcome.cleared.headline,End-of-run headline when every wave was cleared,All Waves Cleared
outcome.destroyed.headline,End-of-run headline when the player's ship was destroyed,Ship Lost To The Void
outcome.tally,"End-of-run tally. Wave *reached*, not cleared — on a loss the last wave was still standing when the ship went down.",Wave {wave} · {plunder} plundered.
outcome.cleared.sub,Follows the tally when the run was won,The lanes are yours.
outcome.again.keyboard,Follows the tally; tells a keyboard player how to start another run,Press R to sail again.
outcome.again.gamepad,"Follows the tally; names A, the same button that started the run, rather than a key the pad player is not holding.",Press A to sail again.
controls.title,Heading of the controls panel toggled with Tab,Controls
controls.kbm.throttle,"Keyboard control description for W and S. They step a four-notch thrust ladder rather than holding a throttle open, so the wording has to say ""set"" and not ""hold"".","Set thrust — reverse, none, half, full"
controls.kbm.steer,Keyboard control description for A and D,Turn to port / starboard
controls.thrust_tip,"A one-line hint under the controls list teaching the core manoeuvre: a ship answers the helm far better slowly than at full thrust.",Cut thrust to turn tighter — full thrust is fastest and stiffest
controls.kbm.broadsides,Keyboard control description for the mouse buttons,Aim & fire port / starboard broadside
controls.pad.throttle_steer,Pad control description for the left stick,Throttle / steer
controls.pad.aim_camera,Pad control description for the right stick,Aim & camera
controls.pad.broadsides,Pad control description for the triggers,Aim & fire port / starboard broadside
controls.brace,Control description for bracing,Brace — cut incoming damage
controls.board,Control description for boarding a crippled ship,Board — hold alongside a crippled hulk
controls.ai_pilot,Control description for handing the ship to the AI pilot,Toggle AI pilot
controls.pause,Control description for pausing,Pause
controls.restart,Control description for restarting after a run ends,Restart after a run ends
controls.pause_restart,"Control description on a pad, where one button both pauses and restarts",Pause / restart after a run ends
controls.fullscreen,Control description for fullscreen,Toggle fullscreen
controls.panel,Control description for this very panel,Toggle this panel
title.cast_off,Title-card chip that begins the run,Cast off
title.test_range,Title-card chip that swaps to the tuning range,Test range
title.slot.broadside,Label for the broadside row of loadout chips,Guns
title.slot.battery,Label for the battery row of loadout chips,Battery
title.slot.special,Label for the special row of loadout chips,Special
loadout.long_nines.name,Name of the long-nines broadside,Long Nines
loadout.long_nines.desc,Tooltip for the long nines,"Three heavy guns on a ten-second reload. One committed volley; missing it hurts."
loadout.carronades.name,Name of the carronade broadside,Carronades
loadout.carronades.desc,Tooltip for the carronades,"Six light guns, reloading fast over a wide arc, but barely half the reach. A brawler."
loadout.disruptor.name,Name of the disruptor battery device,Disruptor
loadout.disruptor.desc,Tooltip for the disruptor,"Hold to run an auto-tracking emitter down a target's drive. Costs the battery an escape would have."
loadout.boost.name,Name of the boost-drive battery device,Boost Drive
loadout.boost.desc,Tooltip for the boost drive,Hold for half again the speed while the battery lasts.
loadout.point_defense.name,Name of the point-defence battery device,Point Defence
loadout.point_defense.desc,Tooltip for point defence,"Hold to swat incoming shot, bolts and torpedoes out of the air. A deeper pool than the others."
loadout.torpedoes.name,Name of the torpedo special,Torpedoes
loadout.torpedoes.desc,Tooltip for torpedoes,"Hold to sweep locks across a formation, release for a homing salvo. Restocked by boarding."
loadout.microwarp.name,Name of the microwarp special,Microwarp
loadout.microwarp.desc,Tooltip for the microwarp,"Hold to place a jump point, release to be there. Twenty seconds between jumps."
loadout.barrels.name,Name of the fire-barrel special,Fire Barrels
loadout.barrels.desc,Tooltip for fire barrels,"Roll burning barrels off the stern to seal a lane behind you. Restocked by boarding."
controls.battery_slot,Control row for the battery slot key,Battery slot — boost / disruptor / point defence
controls.special_slot,Control row for the special slot key,Special slot — torpedoes / microwarp / fire barrels
hud.special.microwarp,Label over the special readout when a microwarp is fitted,MICROWARP
hud.special.barrels,Label over the special readout when fire barrels are fitted,FIRE BARRELS
